iter	time	rmse
0	2.11e-07	3.64027
1	0.43657	1.82629
2	0.871717	0.985177
3	1.30832	0.927564
4	1.74526	0.908326
5	2.18146	0.899
6	2.61813	0.893623
7	3.05445	0.890148
8	3.49103	0.887693
9	3.92828	0.885712
10	4.36489	0.883748
11	4.80142	0.881329
12	5.2373	0.878071
13	5.6744	0.874233
14	6.11113	0.870452
15	6.54787	0.867153
16	6.98452	0.864446
17	7.42122	0.862219
18	7.85607	0.860395
19	8.29327	0.858861
20	8.72974	0.857566
21	9.16622	0.856438
22	9.60227	0.855444
23	10.0379	0.854516
24	10.4743	0.853653
25	10.9114	0.852811
26	11.3478	0.851971
27	11.7844	0.851146
28	12.221	0.8503
29	12.6574	0.849461
30	13.0945	0.848621
31	13.5297	0.847789
32	13.966	0.846972
33	14.4027	0.846184
34	14.8404	0.845454
35	15.2772	0.844754
36	15.7121	0.844097
37	16.1489	0.843485
38	16.5857	0.842904
39	17.0221	0.842365
40	17.4587	0.84186
41	17.8949	0.841374
42	18.3308	0.840906
43	18.7669	0.840461
44	19.2039	0.84004
45	19.6385	0.839629
46	20.0743	0.839224
47	20.5112	0.838832
48	20.9479	0.838443
49	21.3842	0.838073
50	21.8209	0.837688
51	22.2546	0.83731
52	22.6911	0.836947
53	23.1271	0.836579
54	23.5616	0.836226
55	23.9981	0.835861
56	24.4337	0.835492
57	24.8699	0.835125
58	25.3066	0.834766
59	25.7436	0.834405
60	26.1782	0.834043
61	26.6153	0.83368
62	27.0519	0.833312
63	27.4886	0.832955
64	27.9249	0.832592
65	28.3635	0.832243
66	28.8011	0.831905
67	29.2374	0.831581
68	29.6741	0.831258
69	30.1125	0.830943
70	30.5491	0.830642
71	30.9865	0.83034
72	31.4229	0.83005
73	31.8594	0.829772
74	32.2958	0.8295
75	32.7303	0.829247
76	33.1671	0.829004
77	33.6018	0.828771
78	34.0363	0.82854
79	34.4709	0.828317
80	34.9072	0.828105
81	35.3438	0.827899
82	35.7733	0.827691
83	36.2064	0.82749
84	36.6433	0.827301
85	37.0799	0.827116
86	37.5168	0.82693
87	37.9528	0.826748
88	38.3897	0.826568
89	38.8263	0.82639
90	39.2627	0.826217
91	39.6988	0.826039
92	40.1355	0.82587
93	40.572	0.825702
94	41.0088	0.825538
95	41.4448	0.825376
96	41.8817	0.825214
97	42.3182	0.825056
98	42.7551	0.82489
99	43.1915	0.824732
100	43.6279	0.824568
101	44.0638	0.824405
102	44.5003	0.824247
103	44.9368	0.824091
104	45.3733	0.823932
105	45.8095	0.823777
106	46.246	0.823624
107	46.6826	0.82348
108	47.1191	0.823331
109	47.555	0.823189
110	47.991	0.823046
111	48.4275	0.822905
112	48.8634	0.822764
113	49.3006	0.822624
114	49.7361	0.822481
115	50.1725	0.822351
116	50.6079	0.82222
117	51.0433	0.822093
118	51.4792	0.821964
119	51.9146	0.821841
120	52.3513	0.821718
121	52.7887	0.821598
122	53.225	0.821483
123	53.6613	0.821367
124	54.0972	0.821254
125	54.5314	0.821151
126	54.9672	0.821039
127	55.4038	0.820932
128	55.84	0.820832
129	56.2757	0.820732
130	56.7111	0.820634
131	57.1478	0.820534
132	57.5826	0.820435
133	58.0187	0.820346
134	58.456	0.820254
135	58.8925	0.820165
136	59.3293	0.820079
137	59.7635	0.819992
138	60.1993	0.819908
139	60.6339	0.819825
140	61.0703	0.819743
141	61.5062	0.819662
142	61.9424	0.819582
143	62.3792	0.819507
144	62.8164	0.819437
145	63.2508	0.819358
146	63.6876	0.819284
147	64.1227	0.819212
148	64.5592	0.81914
149	64.9942	0.819073
150	65.4305	0.819008
151	65.867	0.818945
152	66.3034	0.818876
153	66.7401	0.818809
154	67.1767	0.818745
155	67.6134	0.818681
156	68.0496	0.818617
157	68.4865	0.818557
158	68.9233	0.8185
159	69.3626	0.818441
160	69.7989	0.818381
161	70.2356	0.818322
162	70.6723	0.818267
163	71.1093	0.818211
164	71.5454	0.818156
165	71.9813	0.818102
166	72.418	0.818046
167	72.8549	0.817992
168	73.2912	0.817934
169	73.7278	0.81788
170	74.164	0.817831
171	74.6026	0.817778
172	75.0394	0.817725
173	75.4763	0.817672
174	75.9123	0.817622
175	76.3484	0.817573
176	76.7849	0.817524
177	77.2204	0.817472
178	77.6572	0.817428
179	78.0937	0.817381
180	78.5313	0.817335
181	78.9681	0.817288
182	79.4047	0.817243
183	79.8411	0.817199
184	80.2775	0.817154
185	80.7141	0.817111
186	81.151	0.817064
187	81.5874	0.817023
188	82.0241	0.816983
189	82.4616	0.816941
190	82.8985	0.816899
191	83.3351	0.816861
192	83.7714	0.816825
193	84.2078	0.816784
194	84.645	0.816744
195	85.0815	0.816707
196	85.5188	0.816671
197	85.9548	0.816632
198	86.3911	0.816597
199	86.8275	0.816559
200	87.2643	0.816521
201	87.702	0.816487
202	88.1381	0.816454
203	88.5748	0.81642
204	89.0114	0.816386
205	89.448	0.816351
206	89.8842	0.816319
207	90.3158	0.81629
